name,x,y,z
F3, 0.32701253,  0.975     , -0.02180155
D2,0.68171759,  0.25      ,  0.26770764
E2,0.66525436,  0.725     ,  0.11107044
F2,0.64800716,  1.        , -0.05302568
D1,0.89291908,  0.2375    ,  0.26813341
E1,0.88272755,  0.5525    ,  0.17116752
F1, 0.85607279,  0.975     , -0.08243557
E3,0.3390333 ,  0.7275    ,  0.09256847
D3,0.35784842,  0.265     ,  0.27158241
F4,0.        ,  0.86      ,  0.        
E4, 0.01803116,  0.505     ,  0.17155503
E5,-0.41679584,  0.45      ,  0.12424767
D5,-0.40947884,  0.125     ,  0.1938642 
E6,-0.7201175 ,  0.375     ,  0.10836642
D6,-0.71567504,  0.125     ,  0.1506336
C6,-0.71567504, -0.125     ,  0.1506336
B6,-0.7201175 , -0.375     ,  0.10836642
C5,-0.40947884, -0.125     ,  0.1938642
B5,-0.41679584, -0.45      ,  0.12424767
B4,0.01803116, -0.445     ,  0.17155503
A4,0.        , -0.8       ,  0.       
C3,0.35784842, -0.25      ,  0.27158241
B3,0.3390333 , -0.7125    ,  0.09256847
A1,0.85607279, -0.9875    , -0.08243557
B2,0.88272755, -0.5425    ,  0.17116752
C1, 0.89291908, -0.225     ,  0.26813341
A2,0.64800716, -1.        , -0.05302568
B2,0.66525436, -0.725     ,  0.11107044
C2,0.68171759, -0.25      ,  0.26770764
A3,0.32701253, -0.9625    , -0.02180155
