name,z,x,y
F3, 1.30805011,  3.9       , -0.08720619
D2, 2.72687035,  1.        ,  1.07083055
E2, 2.66101742,  2.9       ,  0.44428176
F2, 2.59202864,  4.        , -0.21210269
D1, 3.57167631,  0.95      ,  1.07253362
E1, 3.53091021,  2.21      ,  0.68467008
F1, 3.42429117,  3.9       , -0.32974226
E3, 1.3561332 ,  2.91      ,  0.37027388
D3, 1.43139369,  1.06      ,  1.08632964
F4, 0.        ,  3.3       ,  0.     
E4, 0.07212464,  2.02      ,  0.6862201
E5,-1.66718333,  1.8       ,  0.49699068
D5,-1.63791536,  0.5       ,  0.77545681
E6,-2.88047002,  1.5       ,  0.43346567
D6,-2.86270018,  0.5       ,  0.6025344 
C6,-2.86270018, -0.5       ,  0.6025344 
B6,-2.88047002, -1.5       ,  0.43346567
C5,-1.63791536, -0.5       ,  0.77545681
B5,-1.66718333, -1.8       ,  0.49699068 
B4, 0.07212464, -1.78      ,  0.68622011
A4, 0.        , -3.3       ,  0. 
C3, 1.43139369, -1.        ,  1.08632964
B3, 1.3561332 , -2.85      ,  0.37027388
A1, 3.42429117, -3.95      , -0.32974226
B1, 3.53091021, -2.17      ,  0.68467008
C1, 3.57167631, -0.9       ,  1.07253362
A2, 2.59202864, -4.        , -0.21210269
B2, 2.66101742, -2.9       ,  0.44428176
C2, 2.72687035, -1.        ,  1.07083055
A3, 1.30805011, -3.85      , -0.08720619
